Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.06668,0.092596,0.129614,0.129692,0.164413,0.164489
0.000874,0.026915,0.066667,0.066751,0.100683,0.100727
0.000853,0.02674,0.064622,0.064691,0.099215,0.099248
0.000832,0.033229,0.076846,0.076916,0.115591,0.115632
0.000905,0.026858,0.065186,0.065257,0.130607,0.130651
0.000855,0.026633,0.063945,0.064003,0.100934,0.100977
0.000795,0.026752,0.063789,0.063854,0.096457,0.096497
0.000849,0.02704,0.065565,0.065635,0.141095,0.141136
0.000857,0.026676,0.061145,0.061212,0.09581,0.095842
0.000958,0.026784,0.064871,0.064941,0.100078,0.10012
0.000955,0.027015,0.064142,0.064226,0.120962,0.120998
0.001009,0.033849,0.076217,0.076311,0.118549,0.118587
0.000991,0.031092,0.071286,0.071351,0.107702,0.107737
0.000929,0.026905,0.066317,0.066402,0.110315,0.110354
0.000791,0.033129,0.074423,0.074497,0.117484,0.117519
0.000888,0.026814,0.064194,0.064264,0.103443,0.103477
0.000825,0.026727,0.064031,0.064115,0.098225,0.098253
0.000892,0.030465,0.071055,0.07113,0.109765,0.109793
0.000865,0.027058,0.069509,0.069574,0.104199,0.104233
0.000934,0.026947,0.063489,0.063552,0.103455,0.103497
0.000942,0.02698,0.063664,0.063742,0.097546,0.097574
0.001085,0.030664,0.073216,0.073288,0.112274,0.112308
0.00092,0.026735,0.066192,0.066262,0.098743,0.098773
0.000855,0.030454,0.071954,0.072026,0.115438,0.115479
0.000877,0.026999,0.06401,0.064092,0.097253,0.097288
0.000976,0.026986,0.068036,0.06811,0.101456,0.101499
0.000987,0.033545,0.077093,0.077159,0.117809,0.117846
0.000931,0.030758,0.073916,0.073984,0.112013,0.112048
0.000936,0.026887,0.064818,0.064887,0.102493,0.102536
0.000996,0.027048,0.065648,0.065709,0.09943,0.099463
0.000978,0.027238,0.062229,0.062311,0.095049,0.095085
0.002181,0.029849,0.066371,0.066435,0.104874,0.104912
0.000969,0.031002,0.071983,0.072055,0.109126,0.10917
0.000827,0.026965,0.063661,0.063738,0.111337,0.111374
0.00077,0.026825,0.062527,0.0626,0.094912,0.094957
0.000876,0.027022,0.062775,0.06286,0.100834,0.100876
0.000957,0.03341,0.074751,0.07482,0.112863,0.112904
0.000903,0.02678,0.061251,0.061328,0.09565,0.095682
0.000962,0.026845,0.066448,0.066521,0.100266,0.100311
0.000901,0.027375,0.065153,0.06522,0.098872,0.098906
0.000876,0.030757,0.069535,0.069602,0.114068,0.11411
0.000935,0.033276,0.075878,0.075946,0.117045,0.117079
0.000898,0.033196,0.075889,0.075956,0.117552,0.117593
0.001431,0.027662,0.062714,0.062772,0.107791,0.107833
0.000915,0.026981,0.063783,0.063862,0.097258,0.097292
0.000911,0.026925,0.062658,0.062724,0.10902,0.109052
0.000921,0.033309,0.077442,0.077514,0.121762,0.121797
0.00088,0.02689,0.065317,0.065382,0.109559,0.109592
0.001474,0.027867,0.065364,0.065429,0.099145,0.099179
0.0009,0.030743,0.06981,0.06987,0.106281,0.106314
0.000919,0.02695,0.062937,0.063023,0.095565,0.095611
0.001027,0.026983,0.062294,0.062375,0.104311,0.104369
0.000953,0.026904,0.062651,0.062717,0.093681,0.093721
0.001088,0.033862,0.076153,0.076223,0.11619,0.116231
0.001,0.027056,0.061348,0.06141,0.09417,0.094207
0.000814,0.026729,0.064634,0.0647,0.105949,0.105983
0.000918,0.0271,0.062409,0.062474,0.095591,0.095632
0.000969,0.033367,0.085369,0.085431,0.126768,0.126809
0.000952,0.03103,0.070644,0.070715,0.106151,0.106183
0.001039,0.028881,0.064166,0.064235,0.097701,0.097743
0.001006,0.030699,0.070837,0.070903,0.105879,0.105913
0.000786,0.026666,0.060789,0.06087,0.092567,0.092596
0.000801,0.027051,0.062779,0.062843,0.098695,0.098738
0.000844,0.026896,0.06429,0.064372,0.100408,0.100441
0.000894,0.026719,0.061237,0.06133,0.095112,0.095151
0.000939,0.026859,0.062517,0.062581,0.101788,0.101821
0.000896,0.026838,0.061583,0.061663,0.093983,0.094024
0.000937,0.034912,0.078839,0.078906,0.120804,0.120837
0.000838,0.026923,0.061786,0.061851,0.094093,0.094127
0.000949,0.030778,0.068659,0.068735,0.10663,0.106666
0.001272,0.027279,0.061838,0.061939,0.094711,0.094744
0.000968,0.026726,0.064256,0.064324,0.139958,0.140002
0.00079,0.027454,0.066211,0.066287,0.099916,0.099951
0.00093,0.027038,0.062834,0.062907,0.095276,0.095319
0.000958,0.026871,0.063543,0.063625,0.098054,0.098095
0.000984,0.027101,0.065008,0.065077,0.106079,0.106115
0.000811,0.030697,0.074187,0.074258,0.116819,0.116853
0.00096,0.026822,0.065642,0.065739,0.101454,0.101491
0.000903,0.026786,0.061597,0.061667,0.092731,0.092766
0.000872,0.030498,0.084323,0.084392,0.121299,0.121335
0.000966,0.026838,0.062399,0.062466,0.094637,0.094665
0.000901,0.026725,0.060925,0.060984,0.094147,0.09418
0.000851,0.033373,0.07698,0.077054,0.118132,0.118162
0.00081,0.026722,0.062917,0.062988,0.093997,0.094037
0.000907,0.026847,0.063947,0.06401,0.099615,0.099655
0.000914,0.031361,0.072818,0.072894,0.109422,0.109453
0.000978,0.027524,0.062725,0.062795,0.095846,0.095887
0.000873,0.033413,0.075154,0.07523,0.117654,0.117696
0.000984,0.027311,0.064157,0.064232,0.09981,0.099857
0.001002,0.027044,0.062572,0.062644,0.095065,0.095096
0.000952,0.02749,0.065336,0.065412,0.099212,0.099262
0.000872,0.027277,0.062743,0.062815,0.095377,0.095418
0.000865,0.026919,0.062005,0.062071,0.096715,0.096752
0.000996,0.03336,0.074444,0.074511,0.112621,0.112657
0.000997,0.033663,0.075505,0.075576,0.114964,0.115
0.00093,0.030644,0.069568,0.069639,0.104927,0.104964
0.000866,0.027126,0.065047,0.065118,0.097223,0.097258
0.000973,0.030409,0.068166,0.068246,0.101575,0.101613
0.001457,0.027381,0.062654,0.062737,0.095283,0.095313
0.000972,0.02718,0.063915,0.063991,0.102577,0.102614
