Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.082416,0.098739,0.130263,0.130351,0.157408,0.157448
0.0014,0.01737,0.045393,0.045469,0.077531,0.077575
0.001104,0.013966,0.036665,0.036735,0.068758,0.0688
0.001031,0.017008,0.043469,0.043543,0.076701,0.076744
0.001013,0.013096,0.037166,0.03726,0.057701,0.057743
0.001082,0.010388,0.031002,0.03108,0.07151,0.071566
0.001038,0.013341,0.043378,0.04346,0.067582,0.067657
0.000887,0.016155,0.041388,0.041462,0.076646,0.076701
0.000927,0.013019,0.03833,0.038402,0.057635,0.057678
0.001078,0.016646,0.04731,0.047393,0.068932,0.068975
0.000961,0.010183,0.031492,0.031568,0.063687,0.063728
0.000918,0.010125,0.031918,0.031997,0.053741,0.053781
0.001006,0.015859,0.045418,0.045493,0.067289,0.067325
0.000975,0.015703,0.041294,0.04138,0.065396,0.065436
0.000975,0.016449,0.043359,0.043433,0.074837,0.074888
0.001039,0.013423,0.039097,0.039192,0.058502,0.05855
0.001034,0.016893,0.044267,0.044355,0.072531,0.072586
0.001072,0.013716,0.036354,0.036432,0.077434,0.077491
0.000942,0.00951,0.03096,0.031051,0.063465,0.063507
0.000916,0.012636,0.046976,0.047055,0.070592,0.070634
0.000988,0.016672,0.045187,0.045278,0.090941,0.091022
0.001076,0.015899,0.040934,0.041008,0.072265,0.072305
0.001059,0.013546,0.037903,0.037974,0.061965,0.062002
0.001073,0.013163,0.044203,0.044294,0.091302,0.091355
0.000916,0.016398,0.043002,0.043074,0.072191,0.072242
0.001116,0.009888,0.030444,0.030525,0.072858,0.072909
0.001014,0.015947,0.045764,0.045853,0.068535,0.068587
0.001057,0.01593,0.043046,0.043126,0.066417,0.06647
0.001043,0.017194,0.043056,0.043134,0.071474,0.071514
0.001068,0.013041,0.036617,0.036689,0.069088,0.069142
0.001083,0.016331,0.043567,0.043656,0.067392,0.067433
0.001096,0.015857,0.043566,0.043658,0.074386,0.074436
0.000951,0.013222,0.035775,0.035894,0.062062,0.062109
0.000961,0.016669,0.042835,0.042926,0.066488,0.066545
0.00094,0.015564,0.04091,0.040981,0.065865,0.065902
0.001116,0.016483,0.044222,0.0443,0.076572,0.076613
0.000988,0.009691,0.02709,0.027153,0.047646,0.047685
0.001014,0.013456,0.038021,0.038102,0.072951,0.072992
0.001041,0.013337,0.046743,0.046818,0.084449,0.08449
0.001013,0.015715,0.041304,0.041385,0.064775,0.064816
0.001034,0.013319,0.036834,0.03691,0.066192,0.066244
0.001057,0.012565,0.034516,0.034589,0.056494,0.056534
0.00105,0.012876,0.03609,0.036158,0.066144,0.066187
0.000995,0.01312,0.033595,0.033681,0.050744,0.050784
0.001074,0.012873,0.040713,0.040828,0.080333,0.080381
0.001113,0.012873,0.037071,0.037137,0.060839,0.060885
0.001075,0.016725,0.04316,0.04324,0.067087,0.067125
0.000978,0.012653,0.034778,0.034842,0.058412,0.058462
0.001042,0.013489,0.054214,0.054285,0.075118,0.075176
0.001034,0.013326,0.037385,0.037464,0.076296,0.076349
0.001029,0.012779,0.038574,0.038643,0.063136,0.063172
0.001061,0.01026,0.04064,0.040716,0.059524,0.059574
0.001052,0.01583,0.062225,0.062301,0.088073,0.088128
0.000952,0.016472,0.040982,0.041061,0.066953,0.066992
0.000891,0.009802,0.028912,0.028986,0.050812,0.050852
0.001003,0.015971,0.041284,0.041354,0.071006,0.071045
0.000903,0.016385,0.042237,0.042321,0.081922,0.08198
0.000969,0.01652,0.04022,0.040299,0.068633,0.068668
0.001054,0.015886,0.039432,0.039512,0.065727,0.065762
0.001066,0.016877,0.044142,0.044227,0.074507,0.07456
0.001151,0.012826,0.033946,0.034016,0.056848,0.056889
0.001074,0.013535,0.052266,0.052359,0.077388,0.077439
