Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.095082,0.103635,0.123703,0.123768,0.268583,0.268629
0.000838,0.01013,0.029015,0.029068,0.174832,0.174866
0.000856,0.009505,0.026829,0.026887,0.135968,0.136024
0.000895,0.009638,0.029933,0.029987,0.055595,0.055665
0.000842,0.009303,0.028949,0.029011,0.050256,0.050283
0.000992,0.010224,0.03005,0.030107,0.058161,0.05821
0.000886,0.009198,0.027696,0.027759,0.045306,0.045335
0.000936,0.009742,0.029438,0.029488,0.052198,0.052233
0.00103,0.010582,0.029944,0.029997,0.050998,0.051029
0.000774,0.009016,0.037398,0.037475,0.127439,0.127476
0.000898,0.009825,0.030266,0.030315,0.057692,0.057759
0.00087,0.009617,0.02816,0.028216,0.058788,0.058822
0.000892,0.009555,0.029678,0.029728,0.055802,0.055834
0.000915,0.00906,0.030828,0.03089,0.062548,0.062576
0.000849,0.009676,0.02776,0.027825,0.053592,0.053668
0.000859,0.009493,0.028717,0.028778,0.050852,0.050877
0.000858,0.009421,0.029024,0.02908,0.04784,0.047875
0.000804,0.009313,0.029138,0.02919,0.049945,0.049986
0.00082,0.009056,0.042135,0.042195,0.067299,0.067328
0.000792,0.009558,0.031191,0.031255,0.064436,0.064469
0.000941,0.009677,0.028991,0.02904,0.062919,0.062974
0.00086,0.009302,0.035081,0.035152,0.05347,0.053499
0.000839,0.00937,0.028152,0.02821,0.055193,0.055221
0.000788,0.009212,0.02818,0.028252,0.053538,0.053593
0.000851,0.009298,0.030891,0.030973,0.062031,0.062066
0.00098,0.009546,0.028656,0.028728,0.056538,0.056586
0.000884,0.009513,0.030601,0.030675,0.061402,0.061454
0.000886,0.009157,0.040991,0.041068,0.06934,0.069384
0.00079,0.009068,0.027938,0.027991,0.050247,0.050278
0.000773,0.009811,0.039954,0.04002,0.0576,0.057628
0.00098,0.00954,0.028618,0.028667,0.073338,0.073367
0.001021,0.009367,0.027092,0.027147,0.052733,0.052761
0.000917,0.009133,0.027959,0.028016,0.04427,0.044299
0.000906,0.009429,0.025684,0.025732,0.041364,0.041396
0.000809,0.009167,0.029804,0.02987,0.051053,0.051086
0.000805,0.009432,0.02598,0.026025,0.041162,0.041188
0.000793,0.009051,0.026519,0.026572,0.040285,0.04031
0.000812,0.009596,0.028476,0.028538,0.050987,0.051012
0.000919,0.009157,0.028394,0.028448,0.048261,0.048293
0.000907,0.009401,0.029529,0.029593,0.065834,0.065871
0.00104,0.009314,0.028229,0.028286,0.051615,0.051689
0.000926,0.009729,0.028467,0.02852,0.054325,0.054397
0.000831,0.009571,0.025741,0.025797,0.042572,0.042607
0.000811,0.009097,0.027496,0.027553,0.062555,0.062591
0.00086,0.009208,0.02876,0.028812,0.048867,0.048892
0.000862,0.009226,0.031971,0.03203,0.05879,0.058825
0.000872,0.009075,0.027645,0.027697,0.044866,0.044891
0.000833,0.009452,0.028269,0.028312,0.055059,0.055094
0.000909,0.009162,0.025108,0.025157,0.040279,0.040333
0.000861,0.009426,0.032764,0.032818,0.098124,0.098198
0.000869,0.00904,0.026192,0.026241,0.042841,0.04288
0.000805,0.009153,0.026796,0.026846,0.051206,0.051235
0.00084,0.009524,0.029436,0.02949,0.055468,0.055538
0.000891,0.009216,0.028532,0.028583,0.055894,0.055921
0.000933,0.009238,0.027194,0.027239,0.077562,0.07759
0.000838,0.009144,0.027668,0.027722,0.049597,0.049667
0.000822,0.009321,0.024881,0.024926,0.039147,0.039171
0.000902,0.00938,0.027761,0.027809,0.046085,0.046111
0.000895,0.009195,0.027939,0.027989,0.084643,0.084674
0.000915,0.012436,0.032964,0.03302,0.060972,0.061029
0.000905,0.009693,0.026455,0.02651,0.044268,0.044335
0.00089,0.009387,0.02825,0.028312,0.048942,0.048976
0.000823,0.009562,0.028345,0.028392,0.0568,0.056885
0.000875,0.010148,0.028928,0.028977,0.073536,0.073567
0.00087,0.009194,0.031162,0.031222,0.057568,0.057601
0.000909,0.009914,0.027674,0.027727,0.047922,0.047949
0.000908,0.009545,0.029256,0.029311,0.060799,0.060832
