Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.129672,0.144536,0.171527,0.171589,0.187442,0.187472
0.000837,0.015406,0.039193,0.039258,0.055066,0.055097
0.000866,0.009519,0.030706,0.030772,0.040241,0.040268
0.000999,0.012676,0.035494,0.035568,0.048011,0.048042
0.001127,0.013363,0.037417,0.037516,0.050574,0.050613
0.000973,0.01577,0.042574,0.042642,0.058836,0.058868
0.000885,0.016043,0.042513,0.042579,0.058956,0.058988
0.000922,0.01616,0.042365,0.042434,0.058245,0.058288
0.00103,0.015703,0.043601,0.043678,0.086048,0.086087
0.000972,0.015576,0.041945,0.042017,0.057426,0.057458
0.001048,0.013016,0.034237,0.034295,0.047007,0.047038
0.001198,0.016572,0.064045,0.064117,0.083677,0.083717
0.000898,0.012375,0.036456,0.036522,0.049031,0.049066
0.001053,0.016212,0.039716,0.039772,0.059253,0.059285
0.001029,0.016201,0.040028,0.040102,0.056417,0.05647
0.000955,0.012714,0.037052,0.037111,0.049775,0.049803
0.001051,0.015711,0.042362,0.042438,0.05786,0.0579
0.000875,0.01246,0.037764,0.037825,0.050053,0.050081
0.000937,0.009509,0.03046,0.030531,0.0739,0.073949
0.00097,0.009478,0.033269,0.033377,0.044505,0.044534
0.001102,0.0168,0.045252,0.045318,0.06901,0.069049
0.000961,0.012413,0.039318,0.039378,0.052264,0.052309
0.000872,0.01299,0.037982,0.038044,0.051303,0.05134
0.00122,0.013379,0.036835,0.036904,0.050545,0.050579
0.000953,0.016158,0.044063,0.044144,0.060531,0.060564
0.001038,0.009643,0.03173,0.031788,0.041987,0.042018
0.000955,0.012714,0.036301,0.036356,0.050352,0.050392
0.001019,0.016264,0.043561,0.043634,0.06128,0.061324
0.001767,0.016419,0.043513,0.043573,0.059996,0.060033
0.000957,0.016296,0.043156,0.043222,0.059418,0.059451
0.001083,0.012651,0.032707,0.032763,0.045732,0.045765
0.000862,0.016087,0.042774,0.04284,0.058814,0.058853
0.001016,0.016278,0.045302,0.04537,0.062655,0.062687
0.000988,0.016255,0.042137,0.042211,0.058642,0.058675
0.000934,0.01552,0.041026,0.041092,0.056298,0.056338
0.000828,0.012485,0.036364,0.036426,0.049207,0.049238
0.001055,0.015699,0.043332,0.043394,0.059079,0.059109
0.001,0.016076,0.042988,0.043057,0.059058,0.059096
0.000919,0.016248,0.043054,0.043108,0.063714,0.063749
0.000982,0.016666,0.044631,0.044702,0.063762,0.063794
0.001052,0.016268,0.043686,0.04375,0.060156,0.060193
0.000998,0.012724,0.036081,0.036154,0.049659,0.049698
0.000926,0.015786,0.043741,0.043815,0.060183,0.06023
0.000904,0.016101,0.044647,0.044714,0.061125,0.061165
0.001003,0.016262,0.042542,0.042601,0.060309,0.060346
0.000925,0.015602,0.038191,0.038257,0.054296,0.054329
0.000982,0.012834,0.043058,0.04316,0.055732,0.055772
0.001013,0.012679,0.036142,0.036261,0.048911,0.048943
0.001027,0.012676,0.034595,0.034651,0.053055,0.053097
0.000997,0.015711,0.042793,0.042885,0.058186,0.05822
0.001039,0.015624,0.048087,0.048158,0.064032,0.064073
0.001611,0.016189,0.0431,0.043171,0.059028,0.059069
0.001016,0.012637,0.035945,0.036018,0.048202,0.048238
0.001124,0.015713,0.043139,0.043202,0.059991,0.060031
0.001007,0.016058,0.044371,0.044438,0.060648,0.060688
0.000981,0.015573,0.038862,0.038925,0.054031,0.054061
0.001006,0.012718,0.036514,0.036571,0.049099,0.049139
0.001008,0.010117,0.03055,0.030642,0.039915,0.039944
0.001236,0.013153,0.036723,0.036774,0.049583,0.049608
0.000969,0.013176,0.036576,0.036625,0.050224,0.050252
