Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.167625,0.182959,0.217578,0.217645,0.310765,0.310794
0.000842,0.015537,0.044386,0.04444,0.089354,0.089409
0.000875,0.015708,0.043059,0.04311,0.079635,0.079664
0.000942,0.013281,0.037442,0.037502,0.051122,0.051142
0.000874,0.015697,0.047523,0.047576,0.088213,0.088281
0.000798,0.01613,0.043876,0.043928,0.084716,0.084745
0.000813,0.015873,0.044099,0.04415,0.086784,0.086812
0.001004,0.012743,0.036813,0.036861,0.076541,0.076571
0.000975,0.015668,0.043759,0.043812,0.083182,0.083232
0.000799,0.012732,0.037506,0.037551,0.075323,0.075376
0.000948,0.01612,0.044875,0.044934,0.087222,0.087257
0.000879,0.01591,0.042598,0.042664,0.058613,0.058645
0.000888,0.012564,0.04355,0.043602,0.084275,0.084304
0.000878,0.012752,0.043814,0.043864,0.056043,0.056071
0.000923,0.009673,0.030997,0.031065,0.064882,0.064904
0.000827,0.01551,0.041919,0.041978,0.083811,0.08384
0.000892,0.012493,0.03647,0.03652,0.048864,0.048889
0.00077,0.012781,0.037939,0.037985,0.076432,0.076455
0.00087,0.015732,0.043854,0.043903,0.085499,0.085562
0.00133,0.010022,0.032363,0.032413,0.06449,0.064518
0.000805,0.015539,0.043835,0.043883,0.06132,0.061373
0.000808,0.009505,0.032181,0.032242,0.067825,0.067852
0.001037,0.013012,0.038237,0.03831,0.072847,0.07292
0.000888,0.016001,0.045803,0.045856,0.062243,0.062296
0.000927,0.015682,0.04262,0.042677,0.084473,0.084507
0.001015,0.015761,0.042904,0.042955,0.079851,0.079922
0.000972,0.013337,0.038538,0.038593,0.077807,0.077871
0.000947,0.016472,0.043753,0.043804,0.059975,0.06004
0.000954,0.016387,0.044801,0.044864,0.061008,0.061053
0.000909,0.012704,0.036126,0.036172,0.048997,0.049024
0.000871,0.015812,0.041485,0.041534,0.057789,0.057818
0.000851,0.012893,0.037902,0.037951,0.088592,0.088658
0.001708,0.016996,0.045129,0.045183,0.097396,0.09742
0.001038,0.016273,0.044404,0.044452,0.061181,0.061221
0.000869,0.016222,0.044719,0.044766,0.084921,0.084944
0.00094,0.009757,0.032097,0.032141,0.041494,0.041518
0.000869,0.015607,0.039294,0.03934,0.054711,0.054775
0.000923,0.012602,0.036862,0.036928,0.049537,0.049565
0.000918,0.012583,0.036713,0.036765,0.077383,0.077405
0.000994,0.015815,0.044245,0.044311,0.059976,0.060012
