Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.044862,0.053261,0.077593,0.077658,0.116138,0.116172
0.00091,0.009332,0.034519,0.034575,0.043848,0.043874
0.000958,0.009188,0.032348,0.032406,0.081602,0.081638
0.001044,0.01209,0.044452,0.044524,0.089208,0.089242
0.001083,0.009171,0.033298,0.033355,0.074746,0.074781
0.001038,0.00941,0.037529,0.037585,0.083481,0.083515
0.001018,0.009071,0.031637,0.031689,0.071664,0.071704
0.000928,0.009125,0.031904,0.031955,0.071488,0.071524
0.000939,0.009461,0.030852,0.030905,0.040398,0.040438
0.00095,0.00929,0.031759,0.031807,0.070968,0.071002
0.00101,0.009154,0.032006,0.032055,0.07601,0.076039
0.001068,0.009177,0.031692,0.031746,0.078453,0.07848
0.000929,0.009065,0.031523,0.031578,0.074739,0.074774
0.000939,0.009201,0.032762,0.032819,0.074039,0.074076
0.001063,0.0096,0.032476,0.03253,0.07343,0.073469
0.00102,0.012171,0.037878,0.037933,0.085819,0.085862
0.001062,0.009365,0.032079,0.032131,0.073869,0.073911
0.001064,0.009276,0.032398,0.03245,0.077117,0.077147
0.000948,0.009464,0.0329,0.032965,0.076814,0.076852
0.000914,0.008989,0.029667,0.02972,0.039073,0.039105
0.000937,0.009023,0.030619,0.030672,0.039756,0.039786
0.000951,0.009188,0.030904,0.030956,0.040839,0.040868
0.000899,0.00907,0.030938,0.030985,0.040119,0.04014
0.000884,0.008985,0.030321,0.030373,0.040104,0.040131
0.000976,0.009157,0.034922,0.034978,0.078084,0.078115
0.000937,0.011849,0.036925,0.036977,0.083625,0.083652
0.001025,0.009573,0.030671,0.030722,0.040968,0.040997
0.00084,0.011656,0.036796,0.036848,0.082874,0.082904
0.001014,0.01232,0.037333,0.037418,0.090849,0.090887
0.001001,0.00919,0.034058,0.03411,0.0788,0.078829
0.00106,0.009125,0.03131,0.031362,0.074641,0.074669
0.000934,0.008996,0.030655,0.030705,0.071983,0.072017
0.000929,0.011781,0.037584,0.037633,0.093382,0.093422
0.001028,0.009325,0.026014,0.026063,0.035302,0.03533
0.001042,0.009187,0.03165,0.031706,0.041524,0.041546
0.000858,0.009477,0.030665,0.030719,0.039569,0.039602
0.000951,0.009116,0.029981,0.030033,0.039693,0.039723
0.000909,0.009039,0.035274,0.035322,0.045228,0.045249
0.000909,0.009347,0.03032,0.030368,0.040609,0.040636
0.000977,0.009254,0.032178,0.032227,0.07135,0.071376
0.000926,0.009126,0.034562,0.034615,0.082465,0.082499
0.001015,0.009319,0.032723,0.032774,0.082827,0.082857
0.000942,0.011838,0.038863,0.038917,0.087851,0.087886
0.001081,0.009232,0.032258,0.032306,0.073363,0.073397
0.000939,0.009379,0.032026,0.032076,0.041333,0.041359
0.000979,0.009175,0.04156,0.041624,0.090383,0.090411
0.00086,0.009046,0.031642,0.031694,0.041009,0.041037
0.000935,0.01034,0.031285,0.03133,0.040514,0.040543
0.000879,0.009652,0.057477,0.057534,0.096737,0.096765
0.000967,0.009884,0.032043,0.032096,0.071798,0.071834
0.000958,0.009736,0.032432,0.032489,0.075565,0.075594
0.00099,0.009826,0.026777,0.026823,0.03548,0.035506
0.000916,0.008986,0.033362,0.033411,0.071307,0.071331
0.000958,0.00923,0.037323,0.037375,0.047566,0.047598
0.001035,0.009235,0.031389,0.031435,0.070239,0.070264
0.000879,0.011656,0.035711,0.035758,0.049888,0.049909
0.000967,0.009213,0.031052,0.031102,0.070393,0.070433
0.001054,0.012166,0.035995,0.036045,0.049136,0.049159
0.001059,0.009146,0.027216,0.027271,0.037013,0.037041
0.000925,0.009174,0.029917,0.029962,0.039026,0.039051
0.000962,0.009486,0.033672,0.033723,0.080434,0.080472
0.001019,0.009328,0.031399,0.031451,0.073384,0.073411
0.001075,0.009318,0.031173,0.031232,0.040334,0.040358
0.000982,0.009361,0.030146,0.030198,0.038949,0.038977
0.000882,0.00907,0.030204,0.03025,0.040145,0.040169
0.00105,0.01201,0.036608,0.036658,0.048553,0.048592
0.001068,0.012122,0.037395,0.037441,0.099004,0.099032
0.001243,0.009357,0.031585,0.03165,0.040661,0.040686
0.000866,0.011714,0.035821,0.035867,0.048047,0.048072
0.001005,0.009182,0.033068,0.033111,0.074511,0.074537
0.000891,0.009708,0.031682,0.031726,0.070065,0.070093
0.000913,0.00958,0.032096,0.03215,0.043727,0.043754
0.000995,0.009466,0.032391,0.032445,0.042052,0.042082
0.000919,0.009374,0.027529,0.027577,0.03697,0.036995
0.001019,0.009179,0.030426,0.030482,0.040372,0.040396
0.000914,0.009038,0.033453,0.03352,0.042343,0.042374
0.000936,0.011941,0.036502,0.036554,0.048432,0.048461
0.000985,0.009316,0.030462,0.030511,0.041373,0.0414
0.001024,0.009254,0.031084,0.031134,0.040346,0.040374
0.00103,0.01311,0.0347,0.03475,0.044379,0.044403
0.000972,0.009167,0.032913,0.032969,0.042121,0.042148
0.000923,0.009215,0.026437,0.026491,0.035551,0.035585
0.000931,0.009351,0.030152,0.030209,0.040784,0.040809
0.000983,0.009324,0.030336,0.030382,0.039971,0.039994
0.000927,0.008982,0.025783,0.025834,0.03576,0.035791
0.000933,0.008992,0.030291,0.03034,0.040338,0.040364
0.000926,0.011749,0.036513,0.036562,0.055122,0.05515
0.000943,0.009054,0.029808,0.029868,0.04028,0.040311
0.000901,0.009107,0.029879,0.029933,0.039004,0.039032
0.000928,0.009468,0.030816,0.030859,0.04001,0.04003
0.000938,0.011755,0.035725,0.035777,0.052408,0.052437
0.00103,0.009366,0.030875,0.030919,0.039884,0.039906
0.000979,0.011819,0.036216,0.036268,0.048716,0.048758
0.001033,0.011935,0.031514,0.031573,0.043372,0.043404
0.000973,0.012196,0.036735,0.036785,0.048625,0.048653
0.000953,0.009143,0.031645,0.031693,0.078568,0.078596
0.000911,0.009205,0.030204,0.030278,0.039799,0.039823
0.000885,0.009385,0.02691,0.026962,0.036583,0.036614
0.000994,0.00902,0.030198,0.030244,0.039311,0.039333
0.000862,0.00891,0.029567,0.029612,0.039904,0.03993
