Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
5.051895,5.061752,5.087396,5.087465,5.237986,5.238031
0.001099,0.009498,0.039926,0.040002,0.090643,0.090683
0.001825,0.011477,0.039833,0.039896,0.073547,0.073595
0.00116,0.012395,0.039346,0.039411,0.080005,0.080069
0.000975,0.010735,0.035758,0.035826,0.071924,0.071964
0.001053,0.009579,0.035011,0.0351,0.075165,0.075204
0.000967,0.012155,0.036054,0.036134,0.048937,0.048968
0.001306,0.010724,0.038718,0.038778,0.070672,0.070706
0.001166,0.011032,0.034721,0.034787,0.067764,0.067806
0.001051,0.010839,0.033047,0.033115,0.047674,0.047712
0.001058,0.011991,0.041768,0.041839,0.079215,0.079299
0.0012,0.012155,0.036736,0.036801,0.075672,0.075709
0.001523,0.012653,0.038813,0.038872,0.05046,0.050487
0.000997,0.01086,0.034896,0.034952,0.068482,0.068535
0.001088,0.010806,0.034811,0.034863,0.046165,0.046195
0.000986,0.009371,0.033324,0.033383,0.067062,0.067096
0.001127,0.009897,0.031352,0.031431,0.041275,0.041305
0.001065,0.009261,0.033536,0.033603,0.069837,0.069882
0.001075,0.009568,0.033193,0.03326,0.064438,0.064498
0.001078,0.011462,0.03468,0.034742,0.068893,0.06894
0.00114,0.010913,0.03844,0.038513,0.049816,0.049845
0.001088,0.010831,0.035064,0.035124,0.070659,0.070708
0.001271,0.011087,0.034446,0.034519,0.068209,0.068254
0.001181,0.009736,0.032805,0.032891,0.043011,0.04305
0.001093,0.010951,0.03289,0.03298,0.045577,0.045611
0.001567,0.01137,0.033902,0.033978,0.045809,0.045836
0.001073,0.011408,0.03801,0.038077,0.073122,0.073169
0.00118,0.011323,0.034942,0.034997,0.047789,0.047819
0.001062,0.009666,0.032136,0.032191,0.066398,0.066435
0.001008,0.010768,0.03773,0.037833,0.070912,0.070957
0.000901,0.010664,0.032607,0.03267,0.043648,0.043686
0.001045,0.012679,0.046413,0.046506,0.080485,0.080533
0.001207,0.009606,0.027849,0.027911,0.037234,0.037261
0.001245,0.009672,0.035543,0.035596,0.045312,0.04534
0.001101,0.009576,0.030406,0.030462,0.039327,0.039351
0.001375,0.011329,0.034265,0.034323,0.070573,0.070607
0.000953,0.010969,0.033487,0.033551,0.045167,0.045205
0.001321,0.01247,0.038162,0.038224,0.049987,0.050022
0.001176,0.012389,0.038458,0.038593,0.050851,0.050881
0.001189,0.009886,0.032751,0.032822,0.076408,0.076459
0.001123,0.01085,0.035777,0.035836,0.071493,0.071558
0.001031,0.010779,0.034959,0.035023,0.045796,0.045826
0.000916,0.010494,0.034613,0.034673,0.070298,0.070359
0.001086,0.009508,0.031974,0.032035,0.065278,0.065323
0.00102,0.009396,0.033705,0.033784,0.043408,0.043449
0.00099,0.011062,0.034871,0.034937,0.04819,0.048229
0.001021,0.011987,0.03644,0.036524,0.084298,0.084342
0.001063,0.009256,0.032395,0.032468,0.0646,0.064663
0.001721,0.011542,0.036153,0.036217,0.047269,0.047293
0.001001,0.011977,0.036487,0.036552,0.049695,0.049727
0.001103,0.010534,0.034324,0.034396,0.073882,0.073934
0.001559,0.009632,0.034283,0.034366,0.064785,0.064864
0.000977,0.010711,0.040686,0.040762,0.068735,0.068775
0.001124,0.010832,0.035413,0.03547,0.046361,0.04639
0.001411,0.011192,0.035395,0.035479,0.055622,0.055668
0.002122,0.010693,0.028168,0.028226,0.037819,0.037845
0.001022,0.009525,0.033036,0.03309,0.053845,0.05388
0.001099,0.011189,0.034777,0.034885,0.045788,0.045818
0.000968,0.009249,0.034379,0.034447,0.044752,0.04478
0.00117,0.012239,0.038069,0.038155,0.049991,0.050021
0.001024,0.01213,0.035781,0.03585,0.048981,0.049031
0.001069,0.009372,0.032405,0.032471,0.042138,0.042167
0.001145,0.01106,0.035391,0.035457,0.046809,0.046838
0.000944,0.01098,0.036685,0.036762,0.046318,0.046345
0.001459,0.01133,0.03451,0.034569,0.045097,0.04514
0.001168,0.010936,0.035641,0.035704,0.046672,0.0467
0.001054,0.010857,0.034089,0.034152,0.04839,0.048416
0.001283,0.011068,0.045868,0.045923,0.05698,0.057012
0.001042,0.01075,0.035689,0.035744,0.052391,0.05242
0.001086,0.010875,0.033787,0.033856,0.044694,0.044743
0.001113,0.01046,0.036492,0.036543,0.048812,0.048834
0.000945,0.01084,0.043224,0.043282,0.055598,0.05562
0.001063,0.010707,0.035055,0.035118,0.04602,0.046048
0.001359,0.011062,0.037201,0.037253,0.088014,0.088048
0.001157,0.009437,0.040065,0.040151,0.059879,0.059912
0.001084,0.010806,0.029792,0.02985,0.041297,0.04133
0.00169,0.012905,0.03776,0.037841,0.080828,0.080894
0.001236,0.012279,0.038208,0.038278,0.050589,0.05063
0.001173,0.010778,0.033074,0.033132,0.043464,0.0435
