Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.045954,0.05425,0.070481,0.07055,0.079459,0.079496
0.000903,0.011747,0.029739,0.029816,0.040596,0.040634
0.000843,0.009033,0.025843,0.025903,0.035675,0.035704
0.00086,0.008802,0.028654,0.028714,0.038391,0.038428
0.000839,0.008964,0.025488,0.025548,0.034562,0.034597
0.000885,0.009014,0.025268,0.02533,0.03398,0.034013
0.000885,0.009059,0.026252,0.026312,0.037396,0.037437
0.000885,0.009196,0.026355,0.026415,0.035739,0.035767
0.000808,0.009418,0.026,0.026071,0.035054,0.035082
0.000859,0.009429,0.033742,0.033802,0.042768,0.042794
0.000863,0.008818,0.025112,0.025168,0.034139,0.034167
0.000898,0.00885,0.02548,0.025541,0.034926,0.034959
0.00087,0.008835,0.025078,0.025133,0.034287,0.034319
0.000843,0.008915,0.026997,0.027058,0.03632,0.036352
0.000867,0.009143,0.025861,0.02592,0.034759,0.034786
0.00083,0.008943,0.02541,0.02548,0.034709,0.034738
0.000869,0.008906,0.025187,0.025243,0.034335,0.034363
0.000934,0.009213,0.026099,0.026154,0.035928,0.035962
0.000897,0.008764,0.025126,0.025187,0.034845,0.034878
0.00093,0.009194,0.026413,0.026471,0.03678,0.03681
0.000895,0.008886,0.025172,0.025242,0.034907,0.034944
0.000886,0.008736,0.025268,0.025326,0.034441,0.034477
0.000857,0.009105,0.02594,0.025998,0.035327,0.035357
0.000882,0.009244,0.02718,0.027238,0.03628,0.036314
0.000898,0.008834,0.025364,0.02542,0.036329,0.036358
0.000921,0.009716,0.02779,0.027847,0.036781,0.036808
0.000796,0.008947,0.026411,0.026483,0.035668,0.035701
0.000883,0.009679,0.027828,0.027889,0.036911,0.036948
0.000853,0.008779,0.025538,0.025605,0.035012,0.035041
0.000905,0.009196,0.026281,0.026342,0.035545,0.035586
0.000908,0.008974,0.03093,0.030992,0.040227,0.040259
0.000862,0.009022,0.026986,0.027055,0.03812,0.038157
0.000823,0.008944,0.025682,0.025738,0.036287,0.036321
0.000818,0.008909,0.029883,0.029945,0.04079,0.040823
0.000914,0.010922,0.027847,0.027906,0.037109,0.037142
0.000889,0.009512,0.026659,0.026714,0.036236,0.036269
0.001317,0.009335,0.026334,0.026396,0.03535,0.035378
0.000895,0.008732,0.025145,0.025202,0.035142,0.035171
0.000909,0.00881,0.025681,0.025744,0.034794,0.034821
0.000792,0.009519,0.028273,0.028333,0.037846,0.037885
0.000779,0.008811,0.026027,0.026094,0.036158,0.036193
0.000868,0.009288,0.02911,0.029176,0.038558,0.038592
0.000893,0.008743,0.025395,0.02546,0.033998,0.03403
0.000884,0.01018,0.033388,0.033444,0.042445,0.042475
0.000837,0.008806,0.025482,0.025537,0.034857,0.034886
0.000921,0.009619,0.026701,0.02676,0.036531,0.03656
0.000884,0.009236,0.026164,0.026226,0.036151,0.036179
