Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.061745,0.069687,0.103495,0.103561,0.144892,0.144925
0.000795,0.008907,0.025351,0.025407,0.084047,0.084079
0.000852,0.008638,0.025773,0.025838,0.069469,0.069503
0.000875,0.018837,0.035202,0.035258,0.085108,0.085142
0.000894,0.008826,0.025425,0.025494,0.069695,0.069727
0.000895,0.012516,0.028715,0.028773,0.07421,0.074243
0.000834,0.008754,0.031328,0.031387,0.080994,0.081025
0.000858,0.008679,0.031024,0.031081,0.082558,0.082601
0.000801,0.009004,0.025836,0.0259,0.077633,0.077665
0.000928,0.012776,0.02952,0.029582,0.103512,0.103555
0.000852,0.008631,0.025855,0.025915,0.067287,0.067332
0.000872,0.008889,0.026245,0.026297,0.089685,0.089717
0.000814,0.008833,0.027837,0.027892,0.073607,0.07364
0.000764,0.008765,0.026383,0.026454,0.073627,0.073657
0.000879,0.009006,0.025986,0.026039,0.075893,0.075925
0.000868,0.00884,0.025387,0.025445,0.03449,0.034524
0.000846,0.008792,0.026182,0.02624,0.03499,0.035024
0.00083,0.008905,0.027423,0.027485,0.074292,0.074323
0.000795,0.009398,0.026532,0.026599,0.035964,0.035991
0.000834,0.008867,0.025935,0.025988,0.034577,0.034603
0.000863,0.009035,0.026243,0.026312,0.03565,0.035681
0.000837,0.009561,0.026467,0.026526,0.036608,0.036633
0.000865,0.00902,0.028049,0.028105,0.091753,0.091784
0.000883,0.008959,0.02525,0.025308,0.076278,0.076319
0.000861,0.008918,0.029061,0.029118,0.079165,0.079196
0.000834,0.009227,0.026059,0.026113,0.072474,0.072513
0.000887,0.008892,0.025326,0.025382,0.071036,0.071069
0.000897,0.008634,0.025244,0.025301,0.034995,0.035022
0.000867,0.008877,0.02712,0.027173,0.036309,0.036337
0.000872,0.008788,0.026141,0.026198,0.035459,0.035484
0.000782,0.009841,0.028734,0.028797,0.037441,0.037467
0.000793,0.008911,0.025981,0.026035,0.035751,0.035782
0.000855,0.012855,0.030128,0.030182,0.039557,0.039588
0.000784,0.00906,0.025584,0.025653,0.037527,0.03756
0.000854,0.008968,0.025305,0.025362,0.035284,0.035317
0.000909,0.009167,0.025894,0.025949,0.07849,0.078529
0.001272,0.010034,0.027067,0.027124,0.036452,0.036477
0.000804,0.008654,0.025271,0.025324,0.034669,0.034694
0.00129,0.009312,0.027191,0.027247,0.038508,0.038539
0.000843,0.00887,0.025111,0.025174,0.034015,0.034049
0.000856,0.00896,0.026029,0.026082,0.036794,0.036828
0.000861,0.009247,0.026709,0.026765,0.096424,0.096464
0.000848,0.008729,0.026667,0.026725,0.035792,0.03582
0.000828,0.008915,0.025412,0.025479,0.035618,0.035644
0.000857,0.008854,0.026523,0.026578,0.035834,0.03586
0.000832,0.009012,0.025482,0.025542,0.034923,0.034948
0.000851,0.008746,0.026172,0.026228,0.041037,0.041064
0.000858,0.009106,0.025506,0.025561,0.034579,0.03461
0.000862,0.008907,0.0254,0.025455,0.036933,0.036965
0.000842,0.008965,0.025561,0.025621,0.035056,0.035091
0.000854,0.008904,0.025014,0.025073,0.035103,0.035135
0.000778,0.008879,0.02561,0.025665,0.121786,0.121818
0.000897,0.009511,0.026307,0.026363,0.035756,0.035782
0.000885,0.008719,0.027163,0.027222,0.036128,0.036161
0.000837,0.008784,0.026317,0.026374,0.035295,0.035321
0.000874,0.008922,0.025789,0.025844,0.0352,0.035235
0.000857,0.008833,0.025051,0.025107,0.034031,0.034061
0.000831,0.00876,0.025031,0.025088,0.03408,0.034107
0.000895,0.009186,0.027125,0.027181,0.036827,0.036852
