Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.167626,0.177256,0.20331,0.203377,0.282674,0.28271
0.001086,0.00934,0.032725,0.032786,0.113685,0.113747
0.001086,0.012138,0.039319,0.03938,0.15153,0.151599
0.001074,0.010762,0.03789,0.037978,0.109026,0.109084
0.00095,0.012097,0.038766,0.038866,0.229132,0.229217
0.001061,0.010715,0.040525,0.040592,0.107096,0.107134
0.00102,0.009472,0.03216,0.032218,0.08595,0.085989
0.001075,0.010688,0.056189,0.056287,0.103632,0.103677
0.001,0.011951,0.048993,0.049069,0.12308,0.123128
0.001199,0.009665,0.03536,0.035434,0.090415,0.090477
0.001155,0.009492,0.041942,0.042018,0.088961,0.089024
0.000996,0.010749,0.037211,0.037269,0.100693,0.100755
0.000969,0.011452,0.042646,0.042761,0.093362,0.093438
0.001516,0.011286,0.04543,0.045517,0.094935,0.095023
0.00115,0.01222,0.038119,0.038171,0.091155,0.091212
0.000864,0.009285,0.036865,0.036929,0.114275,0.11436
0.001171,0.012516,0.037257,0.037309,0.095778,0.095821
0.001065,0.010959,0.041826,0.04191,0.119666,0.119712
0.001064,0.009837,0.046936,0.047011,0.094479,0.094559
0.001089,0.010869,0.053441,0.05353,0.112984,0.113057
0.000955,0.010437,0.035475,0.035553,0.091132,0.091191
0.000983,0.012056,0.037475,0.03757,0.100663,0.100712
0.001135,0.012208,0.051842,0.051936,0.111532,0.111592
0.001007,0.011061,0.035212,0.035269,0.085677,0.085737
0.000964,0.010586,0.040207,0.040262,0.092975,0.093034
0.001045,0.010626,0.035395,0.0355,0.089743,0.089791
0.001041,0.010787,0.042095,0.042205,0.102771,0.102827
0.003262,0.012725,0.036107,0.036178,0.087057,0.087113
0.001186,0.010993,0.035982,0.036044,0.08463,0.084685
0.001122,0.01217,0.04004,0.040105,0.091661,0.091704
0.001263,0.010997,0.0347,0.034754,0.084859,0.084916
0.000997,0.009197,0.034539,0.034597,0.085678,0.085726
0.001408,0.0111,0.036819,0.036876,0.088616,0.088646
0.000941,0.010562,0.035881,0.035954,0.083917,0.083967
0.001188,0.012092,0.037029,0.037155,0.094842,0.094919
0.001501,0.010721,0.036002,0.036057,0.086702,0.086759
0.000978,0.012135,0.10029,0.100411,0.15141,0.151456
0.001388,0.012483,0.044129,0.044187,0.096839,0.096886
0.001074,0.010929,0.050208,0.050302,0.113516,0.113597
0.001007,0.009869,0.034027,0.034086,0.086687,0.086717
0.002412,0.013269,0.048962,0.049061,0.11752,0.117604
0.001069,0.010627,0.037954,0.038018,0.098816,0.098884
0.001084,0.011034,0.036395,0.036456,0.086378,0.086411
0.001075,0.012025,0.040119,0.040182,0.097144,0.097187
0.001071,0.010967,0.038911,0.039125,0.086624,0.086685
0.001708,0.012769,0.046008,0.046097,0.098704,0.098762
0.001065,0.010681,0.034931,0.035027,0.080029,0.080077
0.001092,0.009278,0.028456,0.028516,0.080696,0.080751
0.00104,0.011377,0.035661,0.035716,0.085894,0.085938
0.001293,0.009584,0.040187,0.040247,0.095522,0.095559
0.001068,0.012006,0.039149,0.039211,0.101638,0.101703
0.001042,0.009426,0.041507,0.041589,0.102979,0.103022
0.00099,0.009433,0.033898,0.033969,0.085321,0.085393
0.001052,0.012499,0.044959,0.045054,0.107155,0.107239
0.001167,0.010966,0.036968,0.037018,0.100493,0.100538
0.001137,0.009853,0.034672,0.034737,0.088053,0.088086
