Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
5.095079,5.103654,5.134218,5.134293,5.221755,5.221826
0.001229,0.011095,0.050251,0.050349,0.108342,0.108379
0.001067,0.011098,0.049215,0.049302,0.160548,0.160616
0.001564,0.010915,0.038145,0.038219,0.135532,0.135576
0.001169,0.011026,0.037311,0.037385,0.093202,0.093274
0.001215,0.010584,0.051991,0.052101,0.119389,0.119438
0.001804,0.011259,0.039849,0.039918,0.092848,0.092899
0.001127,0.010456,0.041659,0.041774,0.086,0.08606
0.00115,0.011114,0.038665,0.038734,0.107054,0.107102
0.001283,0.010278,0.035897,0.035984,0.197812,0.198053
0.001197,0.010546,0.037152,0.037225,0.086936,0.086989
0.001256,0.009159,0.038826,0.038911,0.090577,0.090645
0.001105,0.009098,0.034686,0.034759,0.082352,0.082405
0.004988,0.012791,0.048196,0.048268,0.105395,0.105459
0.001191,0.010745,0.042226,0.042327,0.086454,0.086523
0.0012,0.010706,0.037551,0.037627,0.087126,0.087165
0.001089,0.010261,0.03998,0.040062,0.089833,0.089885
0.001301,0.012301,0.045018,0.045089,0.099676,0.099731
0.003845,0.013291,0.062831,0.062942,0.14475,0.144818
0.001533,0.009324,0.095966,0.096082,0.187208,0.187261
0.001188,0.011687,0.041061,0.041131,0.094143,0.094197
0.00127,0.010735,0.10862,0.108695,0.232857,0.232924
0.001186,0.011726,0.054761,0.054835,0.236172,0.236226
0.001181,0.010618,0.030513,0.030588,0.075927,0.075972
0.001298,0.01154,0.080351,0.080463,0.128382,0.12845
0.001636,0.012017,0.054364,0.054518,0.102815,0.102866
0.001266,0.010433,0.036546,0.036614,0.092539,0.092584
0.001152,0.011905,0.048227,0.04831,0.10236,0.102414
0.001155,0.010424,0.039396,0.039462,0.090858,0.09091
0.001024,0.011495,0.044005,0.044078,0.105655,0.105707
0.001123,0.010343,0.054319,0.054435,0.122616,0.122667
0.001201,0.01036,0.045746,0.045867,0.110541,0.11058
0.001244,0.01167,0.048196,0.048294,0.097,0.097055
0.001089,0.009562,0.035847,0.035953,0.084999,0.085038
0.001199,0.011684,0.054878,0.054947,0.116746,0.116799
0.001164,0.011802,0.037331,0.03759,0.106469,0.106536
0.0018,0.009603,0.042086,0.042158,0.103542,0.103642
0.001184,0.010932,0.052443,0.052545,0.133039,0.133104
0.001253,0.011819,0.046003,0.046088,0.09201,0.092061
0.001482,0.010632,0.040598,0.040675,0.10037,0.100449
0.001172,0.011671,0.041893,0.042016,0.102186,0.102254
0.001239,0.010684,0.044969,0.045132,0.106886,0.106953
0.001132,0.010464,0.032171,0.032243,0.094166,0.094235
0.001215,0.010698,0.03987,0.039945,0.087872,0.087963
0.001131,0.011589,0.085979,0.086091,0.194154,0.194205
0.001183,0.010692,0.035921,0.035988,0.090222,0.090274
0.001208,0.010856,0.032184,0.032256,0.085199,0.085252
0.001494,0.010871,0.032569,0.032644,0.081783,0.081894
0.001492,0.010668,0.032896,0.032971,0.081031,0.08108
0.001204,0.010591,0.03414,0.034215,0.102579,0.102644
0.001205,0.010706,0.03318,0.033302,0.083182,0.083223
0.001267,0.010442,0.03182,0.0319,0.080051,0.08012
0.001281,0.010579,0.08274,0.082838,0.136298,0.13635
0.001249,0.010373,0.032785,0.032857,0.076836,0.076919
0.001228,0.010567,0.044575,0.044664,0.09417,0.094238
0.001251,0.009092,0.035874,0.035945,0.08395,0.084003
0.001255,0.009499,0.030518,0.030587,0.081992,0.08206
0.001123,0.009265,0.067605,0.067831,0.128544,0.128635
0.001206,0.010676,0.060499,0.060597,0.112499,0.11262
0.001326,0.010645,0.033834,0.033904,0.082414,0.082466
0.001404,0.010765,0.03122,0.03129,0.075538,0.075586
0.001133,0.011843,0.051307,0.051411,0.10357,0.103611
0.001202,0.010692,0.040766,0.040849,0.090872,0.090926
0.001253,0.010505,0.038614,0.038697,0.086105,0.086169
0.001255,0.009102,0.032589,0.032663,0.092068,0.092127
0.001123,0.011796,0.035726,0.035804,0.084634,0.084701
0.00126,0.011439,0.044062,0.044129,0.101358,0.101446
0.001267,0.010552,0.061117,0.061226,0.142372,0.142413
0.001227,0.011924,0.042738,0.042839,0.097762,0.097832
0.001518,0.015171,0.039562,0.039662,0.088983,0.089054
0.001211,0.010691,0.035015,0.035088,0.082629,0.082691
0.001165,0.017948,0.05671,0.056791,0.121155,0.121229
0.001253,0.011781,0.040664,0.040751,0.09256,0.0926
0.001112,0.010502,0.038209,0.038294,0.08381,0.083848
0.0011,0.01016,0.047412,0.047575,0.097025,0.097079
0.001471,0.012017,0.044619,0.044691,0.104947,0.105
0.001173,0.01171,0.056452,0.056544,0.110987,0.111072
0.001246,0.011988,0.036194,0.036262,0.1225,0.122553
0.001125,0.010729,0.034698,0.034768,0.084211,0.084281
0.001286,0.010719,0.040927,0.040997,0.088941,0.088994
0.001159,0.011919,0.051328,0.051454,0.119605,0.119643
0.001596,0.009205,0.043645,0.043725,0.089293,0.089345
0.001186,0.010405,0.048782,0.048865,0.120817,0.120885
0.001127,0.011811,0.035286,0.035357,0.100795,0.100839
0.001176,0.008883,0.028935,0.02901,0.095026,0.095095
0.00123,0.010357,0.040111,0.040202,0.096903,0.096978
0.001217,0.010576,0.037522,0.037592,0.09134,0.09139
0.001144,0.01055,0.038952,0.039021,0.089114,0.089167
0.001248,0.010916,0.031479,0.031549,0.079821,0.079871
0.001216,0.009037,0.053042,0.053162,0.108767,0.108839
0.001212,0.010834,0.036212,0.036283,0.09112,0.091232
0.00131,0.01049,0.073934,0.074021,0.149293,0.149346
0.001315,0.01056,0.04081,0.040891,0.104953,0.105006
0.001285,0.011708,0.10322,0.103332,0.163122,0.163213
0.001226,0.011633,0.070925,0.071014,0.191686,0.191758
0.001228,0.010728,0.056174,0.056275,0.110192,0.110245
0.001224,0.010589,0.031948,0.032035,0.081684,0.081728
