Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.173266,0.200496,0.24767,0.247753,0.61942,0.61946
0.000993,0.024587,0.064598,0.064677,0.146901,0.146939
0.001072,0.028375,0.070312,0.070386,0.132847,0.13289
0.001001,0.02477,0.065447,0.065516,0.127476,0.127516
0.000996,0.024746,0.06412,0.064199,0.123154,0.123192
0.001049,0.024686,0.066757,0.066844,0.130821,0.130882
0.00106,0.024813,0.0893,0.089381,0.14769,0.14773
0.000969,0.024501,0.064042,0.064119,0.122677,0.122741
0.001047,0.021501,0.083992,0.084079,0.146472,0.146511
0.000949,0.024671,0.073133,0.073204,0.135517,0.135557
0.001056,0.027772,0.070701,0.07077,0.139243,0.139287
0.001018,0.028145,0.072802,0.072869,0.134661,0.134701
0.000976,0.024402,0.061099,0.061164,0.11953,0.119575
0.000927,0.021072,0.065326,0.065419,0.129332,0.12937
0.001003,0.024594,0.064198,0.064278,0.123335,0.123374
0.001013,0.024481,0.062368,0.062442,0.12502,0.125064
0.001076,0.038017,0.081785,0.081875,0.149833,0.149866
0.001099,0.021787,0.058974,0.059043,0.114889,0.114935
0.000982,0.028164,0.084492,0.084576,0.169081,0.169131
0.001027,0.027737,0.069172,0.069247,0.152549,0.152596
0.001134,0.024576,0.062766,0.06284,0.12773,0.12778
0.001025,0.024719,0.063353,0.063439,0.131491,0.131527
0.001077,0.028026,0.067387,0.067462,0.128511,0.128547
0.001058,0.024744,0.06419,0.064264,0.128661,0.128697
0.001138,0.040642,0.084562,0.08463,0.152783,0.152828
0.001001,0.028149,0.075976,0.076045,0.141361,0.141397
0.001018,0.024957,0.064093,0.064163,0.133633,0.133692
0.000993,0.024887,0.065488,0.065555,0.127176,0.127214
0.001102,0.024665,0.062409,0.062473,0.125107,0.12514
0.001055,0.024668,0.062612,0.062686,0.123906,0.123942
0.000915,0.024783,0.063923,0.064,0.128343,0.128379
0.001118,0.021207,0.05836,0.058437,0.137609,0.137656
0.001598,0.021736,0.058788,0.05886,0.11819,0.118232
0.000967,0.024648,0.063639,0.063719,0.128245,0.128306
0.001044,0.024694,0.061149,0.06123,0.130797,0.130837
0.001039,0.024755,0.063078,0.063201,0.122604,0.122641
0.001034,0.028223,0.070974,0.071046,0.131709,0.131753
0.001062,0.024857,0.068137,0.068202,0.126622,0.126672
0.001055,0.021117,0.056569,0.056624,0.11966,0.119696
0.000957,0.028079,0.070639,0.070718,0.138709,0.138756
0.001075,0.028296,0.075389,0.075455,0.141956,0.141985
0.001006,0.024708,0.070789,0.070853,0.131723,0.131763
0.001108,0.02812,0.070406,0.070463,0.136128,0.136202
0.001012,0.028231,0.072276,0.072336,0.130381,0.130414
0.000986,0.021453,0.05604,0.056098,0.110686,0.110713
0.001129,0.024925,0.105698,0.105775,0.16395,0.163982
0.001125,0.024687,0.060003,0.060061,0.118212,0.118252
0.001098,0.024752,0.063556,0.063611,0.12059,0.120617
0.001008,0.021337,0.058754,0.058813,0.138857,0.138899
0.00105,0.028009,0.069762,0.069837,0.130178,0.130212
0.000928,0.02477,0.063743,0.0638,0.119768,0.119808
0.00108,0.028192,0.069241,0.069325,0.132631,0.132665
0.000973,0.024812,0.061939,0.062001,0.1202,0.120262
0.001055,0.025084,0.139764,0.139842,0.20284,0.20293
0.001097,0.028071,0.071177,0.071234,0.141235,0.141292
0.001069,0.021234,0.052312,0.052369,0.114112,0.114174
0.00104,0.024708,0.065809,0.06587,0.126322,0.126356
0.001055,0.025112,0.062504,0.062567,0.125867,0.125947
0.0011,0.025009,0.066289,0.066364,0.122767,0.122798
0.00102,0.024786,0.064499,0.064557,0.129023,0.129056
0.001045,0.021176,0.057077,0.057154,0.11998,0.120044
0.001043,0.024905,0.060626,0.060698,0.133269,0.133306
0.000973,0.024907,0.079368,0.079434,0.135971,0.136003
0.001072,0.025077,0.063313,0.063378,0.123328,0.123366
0.000995,0.028298,0.070654,0.070714,0.131017,0.131054
0.001011,0.028102,0.065809,0.065868,0.126906,0.126956
0.001029,0.028469,0.07453,0.074591,0.138959,0.13902
0.001087,0.024565,0.063746,0.063809,0.119704,0.119741
0.000912,0.021256,0.055961,0.056023,0.129104,0.12914
0.000907,0.024462,0.064173,0.064238,0.122408,0.122451
0.001072,0.021471,0.058596,0.05867,0.120186,0.120232
0.000953,0.02439,0.064137,0.064198,0.14088,0.140908
0.001676,0.025735,0.065711,0.065771,0.125823,0.125881
0.001015,0.025169,0.060557,0.060619,0.129393,0.129429
0.001082,0.024668,0.062046,0.062108,0.136593,0.136624
0.001053,0.028245,0.071981,0.072044,0.133549,0.133578
0.001074,0.028096,0.069932,0.070001,0.140452,0.140484
0.00108,0.031419,0.073257,0.07332,0.137504,0.13754
0.000984,0.028106,0.065537,0.065591,0.133426,0.133483
0.001018,0.025109,0.060899,0.060955,0.132797,0.132827
0.001013,0.024969,0.064588,0.064644,0.124853,0.124882
0.000974,0.02121,0.050209,0.050265,0.117316,0.11739
0.00161,0.028931,0.078322,0.078389,0.1372,0.137229
0.000951,0.02795,0.069226,0.069279,0.136625,0.136681
0.000942,0.02856,0.071239,0.071303,0.134202,0.134258
0.000934,0.021423,0.05841,0.058465,0.238424,0.238461
0.000999,0.028213,0.066781,0.066857,0.128885,0.12895
0.00105,0.0245,0.062036,0.062093,0.119289,0.119323
0.000959,0.024951,0.06341,0.06347,0.12422,0.124267
0.001046,0.028804,0.07006,0.070117,0.138646,0.138674
0.000987,0.024626,0.062987,0.063045,0.122685,0.122767
0.000994,0.0277,0.064291,0.06434,0.133069,0.133097
0.001063,0.024733,0.05762,0.057687,0.125186,0.125225
0.001683,0.024979,0.064589,0.064646,0.129924,0.129958
0.001044,0.027756,0.068612,0.068671,0.125837,0.125872
0.000937,0.024579,0.06386,0.063917,0.118023,0.118092
0.001172,0.02488,0.063417,0.063475,0.119615,0.119642
0.001001,0.024634,0.062682,0.062754,0.149174,0.149222
0.001026,0.021172,0.061702,0.061765,0.114117,0.114158
0.000991,0.024728,0.063457,0.063515,0.124025,0.124057
