Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.145539,0.153323,0.17713,0.177214,0.227201,0.227246
0.001256,0.009969,0.034721,0.034781,0.107341,0.107379
0.001075,0.011212,0.043762,0.043823,0.103422,0.103469
0.001281,0.011228,0.037221,0.037294,0.12719,0.127224
0.001162,0.010219,0.054758,0.054834,0.101084,0.101228
0.001194,0.008712,0.033772,0.033824,0.094202,0.094252
0.001216,0.010149,0.039398,0.039463,0.082017,0.082085
0.001452,0.010321,0.036568,0.036639,0.082345,0.082379
0.000899,0.008487,0.032479,0.032687,0.085699,0.085741
0.001038,0.008676,0.035431,0.035542,0.085383,0.085419
0.001308,0.010164,0.037505,0.037579,0.087608,0.087657
0.001218,0.010399,0.037488,0.037579,0.090784,0.090821
0.001133,0.011261,0.044135,0.044229,0.108626,0.108669
0.001356,0.00979,0.047688,0.047759,0.095384,0.095449
0.001241,0.010165,0.03557,0.03571,0.086102,0.08616
0.002389,0.011196,0.037795,0.037871,0.087042,0.087141
0.001197,0.008732,0.033459,0.033546,0.084564,0.084622
0.001274,0.011311,0.035885,0.035941,0.090268,0.090304
0.001512,0.009317,0.035674,0.035729,0.07872,0.078779
0.001373,0.008856,0.03527,0.035379,0.083669,0.083713
0.001057,0.008716,0.03529,0.035347,0.087349,0.087387
0.001439,0.011592,0.03456,0.034644,0.087125,0.087182
0.001396,0.011549,0.046812,0.046874,0.102224,0.102286
0.001485,0.01041,0.052388,0.052457,0.104296,0.10439
0.001314,0.010721,0.036076,0.03614,0.099818,0.099854
0.001478,0.010355,0.034539,0.034617,0.100725,0.100761
0.001013,0.010247,0.035235,0.035317,0.092991,0.093043
0.001213,0.008724,0.034149,0.034211,0.080808,0.080854
0.001207,0.011326,0.045931,0.045997,0.093511,0.093559
0.001299,0.009931,0.034234,0.034298,0.086808,0.086838
0.001217,0.011392,0.048518,0.048715,0.095048,0.095077
0.001293,0.010451,0.092493,0.092606,0.141341,0.14139
0.001448,0.011447,0.03907,0.039128,0.085246,0.085294
0.001103,0.010067,0.046084,0.046161,0.098357,0.098405
0.00107,0.008872,0.038658,0.038734,0.098898,0.098944
0.001117,0.00862,0.036057,0.03619,0.087275,0.08731
0.001316,0.010208,0.375046,0.375272,0.463724,0.46376
0.00158,0.010901,0.042907,0.042974,0.093782,0.093836
0.001199,0.010056,0.054555,0.05465,0.114876,0.114935
0.001174,0.008678,0.03669,0.036774,0.088102,0.088152
0.001025,0.009886,0.039172,0.039256,0.098833,0.09887
0.00133,0.010331,0.048607,0.048667,0.101562,0.101623
0.001147,0.010006,0.047415,0.047516,0.094811,0.094863
0.001575,0.010438,0.040438,0.040492,0.096471,0.096505
0.001255,0.010345,0.033204,0.033274,0.088217,0.088262
0.001223,0.010152,0.069368,0.069437,0.136405,0.136456
0.00127,0.010047,0.055165,0.055264,0.107364,0.107399
0.001213,0.0112,0.03854,0.038611,0.094203,0.094347
0.001237,0.011285,0.032801,0.032864,0.080606,0.080654
0.00123,0.011536,0.033905,0.03396,0.09084,0.09088
0.001296,0.010195,0.035895,0.035949,0.08787,0.088015
0.0012,0.010057,0.034597,0.034668,0.088944,0.089009
0.001259,0.009999,0.045681,0.04579,0.115997,0.116037
0.001423,0.010256,0.046712,0.046807,0.095561,0.095617
0.001212,0.010063,0.040598,0.040689,0.102885,0.102945
0.001105,0.008989,0.030564,0.030666,0.089312,0.089345
0.001493,0.011611,0.045095,0.045178,0.109459,0.109507
0.001385,0.010085,0.028904,0.028999,0.074436,0.074478
0.001191,0.010073,0.061545,0.061614,0.107051,0.107076
0.001114,0.009186,0.029484,0.029542,0.078973,0.07912
0.001272,0.010138,0.029516,0.029574,0.087925,0.08797
0.001114,0.011236,0.039253,0.039343,0.088934,0.088978
0.001497,0.009631,0.030959,0.031013,0.090241,0.090292
0.001157,0.010243,0.037895,0.038019,0.084301,0.084362
0.001116,0.012968,0.042839,0.042923,0.097208,0.097265
0.001138,0.009967,0.034595,0.034684,0.082841,0.082869
0.001212,0.008606,0.036752,0.036858,0.08875,0.088784
0.001401,0.011487,0.045436,0.045507,0.107846,0.107901
0.001205,0.01129,0.041907,0.041997,0.098063,0.098105
0.001142,0.011235,0.2211,0.22119,0.300785,0.300823
0.001281,0.010263,0.031939,0.031995,0.100795,0.100823
0.001535,0.011568,0.037296,0.037347,0.082933,0.082966
0.00139,0.009053,0.034554,0.034631,0.080821,0.08089
0.001115,0.009859,0.03353,0.033604,0.083972,0.084001
0.001498,0.010333,0.046381,0.046466,0.094102,0.094142
0.001187,0.011607,0.058206,0.058311,0.11632,0.116359
0.001121,0.00994,0.03209,0.032172,0.084956,0.084986
0.001358,0.011568,0.033741,0.033803,0.078711,0.078765
0.001295,0.010343,0.030672,0.03074,0.074136,0.074164
0.001257,0.010088,0.042182,0.042324,0.094348,0.094387
