Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.047839,0.158578,0.276662,0.27674,0.697694,0.697736
0.001016,0.111392,0.229827,0.229898,0.361461,0.3615
0.000981,0.119562,0.245901,0.245983,0.385171,0.385225
0.00112,0.111608,0.229884,0.229973,0.367738,0.367778
0.001132,0.111536,0.229781,0.229854,0.361207,0.361248
0.000991,0.116536,0.239582,0.239654,0.378089,0.378129
0.000952,0.115414,0.238095,0.238162,0.380064,0.380102
0.000978,0.111633,0.230584,0.230666,0.361706,0.36176
0.000963,0.11121,0.22968,0.229762,0.360383,0.360419
0.000915,0.115433,0.23819,0.238271,0.37353,0.373574
0.000955,0.111181,0.229904,0.229997,0.360039,0.360079
0.000906,0.111361,0.230915,0.230999,0.363231,0.363284
0.001155,0.111489,0.229357,0.229425,0.360936,0.360989
0.001817,0.1161,0.23856,0.238642,0.376729,0.376769
0.00098,0.111486,0.230503,0.230589,0.363059,0.363115
0.001083,0.111733,0.230126,0.230206,0.362284,0.362324
0.00104,0.111419,0.231087,0.231158,0.362656,0.362695
0.001017,0.111447,0.229679,0.229757,0.360645,0.360686
0.000999,0.111995,0.230877,0.230968,0.363071,0.363139
0.001065,0.111363,0.230625,0.230704,0.3618,0.361855
0.001059,0.111462,0.231253,0.23133,0.362885,0.36294
0.001093,0.11156,0.230122,0.230208,0.360987,0.36103
0.000894,0.111357,0.230285,0.230355,0.465693,0.465742
0.001102,0.111713,0.230374,0.230442,0.362044,0.362083
0.001077,0.115658,0.238557,0.238627,0.501971,0.502013
0.00103,0.11539,0.238368,0.238446,0.373939,0.373978
0.000985,0.111366,0.23015,0.230246,0.361186,0.361228
0.001121,0.115532,0.238181,0.238265,0.372774,0.372809
0.001101,0.11137,0.230638,0.230717,0.361986,0.362026
0.001013,0.111442,0.230376,0.230447,0.361091,0.361168
0.000973,0.111647,0.230436,0.230514,0.361504,0.361543
0.001176,0.111572,0.228821,0.228904,0.360186,0.360225
0.000995,0.111758,0.230978,0.231062,0.364263,0.364302
0.001043,0.11159,0.229978,0.230057,0.361976,0.362024
0.001127,0.111842,0.232654,0.232777,0.360614,0.360655
0.001167,0.111822,0.230614,0.230693,0.384584,0.384626
0.001142,0.111634,0.230538,0.230622,0.363038,0.363095
0.001062,0.111557,0.22974,0.229804,0.361784,0.361827
0.001035,0.115643,0.238032,0.238103,0.370037,0.37009
0.000904,0.115513,0.237781,0.237862,0.37338,0.373419
0.000948,0.11148,0.229539,0.229622,0.363023,0.363075
0.000898,0.111276,0.229455,0.229529,0.361748,0.361803
0.000913,0.119306,0.245723,0.245821,0.384834,0.38487
0.001087,0.111495,0.23102,0.231105,0.362342,0.362406
0.001293,0.111433,0.229369,0.22945,0.360947,0.360989
0.001082,0.119425,0.246691,0.246778,0.38691,0.386968
0.001112,0.111556,0.230404,0.230477,0.362609,0.362648
0.001118,0.119621,0.246581,0.246657,0.387425,0.387466
0.001008,0.111519,0.230527,0.230603,0.364099,0.364155
0.001038,0.111527,0.229851,0.22993,0.36177,0.36181
0.001112,0.111749,0.230616,0.230687,0.361385,0.361438
0.001093,0.115611,0.237924,0.238013,0.373147,0.373186
0.001061,0.11134,0.230012,0.230092,0.36164,0.361713
0.001042,0.115917,0.238422,0.238496,0.374087,0.374122
