Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.023329,0.057711,0.114132,0.11424,0.526145,0.52619
0.001256,0.03711,0.089404,0.089492,0.200807,0.200905
0.001222,0.034992,0.082385,0.082484,0.172709,0.17282
0.001061,0.036813,0.091323,0.091416,0.168616,0.16865
0.001019,0.033471,0.075886,0.075968,0.15449,0.154534
0.001103,0.034161,0.077807,0.077876,0.154512,0.154555
0.001082,0.036442,0.091467,0.091539,0.170319,0.170369
0.001221,0.034582,0.077177,0.077246,0.158055,0.158154
0.001166,0.036646,0.085046,0.085138,0.178934,0.178967
0.001123,0.035979,0.08081,0.080903,0.157006,0.157053
0.00103,0.034118,0.087435,0.087543,0.165972,0.166003
0.001083,0.036915,0.084416,0.084493,0.171109,0.171168
0.0011,0.033688,0.079768,0.079873,0.158498,0.158537
0.001177,0.035307,0.081855,0.081947,0.165531,0.165566
0.001063,0.035163,0.079062,0.079132,0.158215,0.15827
0.001088,0.037054,0.08405,0.084125,0.159909,0.159955
0.001329,0.034763,0.07896,0.07906,0.17644,0.176474
0.001102,0.036279,0.081807,0.081898,0.196205,0.196251
0.001071,0.037116,0.085519,0.085643,0.162779,0.162826
0.002396,0.036121,0.080345,0.08042,0.158259,0.158303
0.001171,0.037345,0.081057,0.081123,0.154326,0.154364
0.001079,0.034158,0.077435,0.077505,0.152603,0.152635
0.001453,0.034048,0.078983,0.079085,0.164219,0.164252
0.001147,0.037387,0.08271,0.082777,0.158237,0.15828
0.001086,0.035939,0.083663,0.083748,0.164883,0.164944
0.001139,0.036265,0.083036,0.083114,0.158708,0.158756
0.00114,0.034187,0.077047,0.077124,0.158161,0.158197
0.001193,0.035011,0.07835,0.078471,0.153935,0.153981
0.001219,0.036955,0.086947,0.08702,0.164711,0.164744
0.001066,0.035324,0.080124,0.080198,0.162737,0.162782
0.001233,0.034875,0.083814,0.083977,0.159688,0.159725
0.001038,0.033501,0.076082,0.076172,0.14803,0.148062
0.001151,0.034768,0.080777,0.080883,0.159663,0.159722
0.001193,0.034896,0.078984,0.079057,0.154516,0.154553
0.001986,0.034998,0.086227,0.086303,0.161745,0.161926
0.001425,0.03509,0.079144,0.079275,0.156169,0.156244
0.001062,0.037448,0.084272,0.084361,0.161694,0.161729
0.001193,0.036559,0.099847,0.099947,0.174449,0.174517
0.001293,0.034224,0.078849,0.078914,0.151299,0.151358
0.001203,0.036454,0.087734,0.087812,0.162189,0.162237
0.001255,0.036135,0.102991,0.103087,0.187192,0.187381
0.001287,0.035101,0.079026,0.079099,0.158313,0.158349
0.002596,0.034973,0.078374,0.078449,0.154511,0.154555
0.001205,0.03496,0.07945,0.079542,0.155705,0.15574
0.001465,0.033892,0.077423,0.077507,0.153664,0.153699
0.001234,0.03523,0.09594,0.096011,0.171041,0.171075
0.001137,0.034272,0.077659,0.07773,0.150295,0.150326
0.001127,0.037333,0.083394,0.08348,0.161588,0.16162
0.001119,0.035558,0.089095,0.08936,0.163396,0.163432
0.001351,0.034133,0.077556,0.077628,0.158427,0.158485
0.001154,0.034349,0.07918,0.079303,0.155417,0.155478
0.001037,0.036988,0.082919,0.083055,0.302157,0.302193
0.001207,0.037103,0.082465,0.08254,0.173404,0.17345
0.001062,0.034217,0.078589,0.078661,0.154511,0.15455
0.001214,0.03634,0.082589,0.082721,0.165002,0.165063
0.001134,0.034036,0.083254,0.083324,0.166991,0.167043
0.001148,0.033671,0.09218,0.092293,0.168196,0.168242
0.00125,0.034953,0.080959,0.08106,0.156579,0.15664
0.001109,0.036238,0.082069,0.082145,0.161454,0.161512
0.001044,0.035407,0.081756,0.081832,0.165628,0.165666
0.001265,0.035618,0.081169,0.081301,0.168677,0.168767
0.001094,0.034895,0.088587,0.088684,0.164346,0.164396
0.001799,0.034479,0.077844,0.077942,0.153326,0.153361
0.001259,0.033886,0.079477,0.079662,0.170105,0.170151
0.001088,0.034976,0.078502,0.078601,0.156307,0.156361
0.001723,0.036959,0.082424,0.082502,0.175122,0.175189
0.001119,0.036915,0.085712,0.085821,0.168995,0.169031
0.001127,0.037108,0.08488,0.084995,0.174088,0.174147
0.00123,0.034194,0.079931,0.080096,0.158289,0.158334
0.00131,0.035611,0.080126,0.080272,0.159148,0.159185
0.001085,0.033581,0.075902,0.075978,0.148751,0.148786
0.001255,0.03447,0.083659,0.083757,0.158536,0.158617
0.001322,0.033614,0.077145,0.077215,0.156184,0.156219
0.001142,0.035031,0.079865,0.079945,0.164053,0.164122
0.001206,0.036536,0.082897,0.082971,0.159898,0.159934
0.001834,0.037198,0.088742,0.088841,0.166061,0.166105
0.00116,0.03435,0.079036,0.079109,0.154776,0.154813
0.001063,0.034216,0.079261,0.079339,0.153182,0.153231
0.001243,0.033662,0.077818,0.077892,0.155104,0.15522
0.001478,0.034266,0.077284,0.077424,0.152457,0.152499
0.001572,0.034636,0.078425,0.078499,0.153594,0.153628
0.001516,0.036684,0.08101,0.08108,0.159231,0.159263
0.001102,0.034529,0.077051,0.077131,0.157052,0.157086
0.001176,0.034996,0.086465,0.086548,0.300634,0.300679
0.000984,0.036927,0.082152,0.082232,0.172447,0.172495
0.001263,0.034925,0.080938,0.081117,0.160244,0.160287
0.001468,0.037051,0.083822,0.083894,0.160233,0.160267
0.001063,0.035603,0.079364,0.07949,0.154899,0.154971
0.001117,0.036227,0.092639,0.092726,0.193542,0.193579
0.001259,0.034883,0.079793,0.079895,0.16147,0.161545
0.001185,0.034263,0.083939,0.08402,0.160784,0.160844
0.001013,0.035312,0.081716,0.081815,0.156255,0.156308
0.001451,0.033781,0.085776,0.085876,0.163503,0.163553
0.001008,0.033345,0.07893,0.079,0.154404,0.15445
0.001201,0.034931,0.08033,0.080411,0.154948,0.154998
0.001122,0.034778,0.078634,0.0787,0.151319,0.151444
0.001243,0.036459,0.082435,0.082561,0.174651,0.174701
0.001175,0.036661,0.083122,0.083269,0.171803,0.171837
0.001054,0.03637,0.081661,0.081734,0.156847,0.156903
0.001345,0.035697,0.080748,0.080842,0.167742,0.167779
